localId,project,crash_type,libs,non_libc,report_found
42473801,libarchive,Heap-buffer-overflow READ {*},,False,True
42473818,openh264,Heap-use-after-free READ 8,,False,True
42473823,gdal,Heap-buffer-overflow READ 1,,False,True
42473850,ffmpeg,Heap-buffer-overflow WRITE 8,,False,True
42473874,ffmpeg,Heap-buffer-overflow READ 1,,False,True
42473891,gdal,Heap-use-after-free READ 8,,False,True
42473917,ffmpeg,Heap-buffer-overflow READ 1,,False,True
42473931,ffmpeg,Heap-buffer-overflow READ 8,,False,True
42474040,imagemagick,Heap-use-after-free WRITE 4,,False,True
42474129,gnupg,Heap-use-after-free READ 4,,False,True
42474133,gdal,Heap-use-after-free READ 4,,False,True
42474135,harfbuzz,Heap-buffer-overflow WRITE 1,,False,True
42474183,ffmpeg,Heap-buffer-overflow WRITE {*},,False,True
42474247,picotls,Heap-buffer-overflow READ 1,,False,True
42474263,ffmpeg,Heap-buffer-overflow WRITE 1,,False,True
42474313,imagemagick,Heap-buffer-overflow READ 1,,False,True
42474362,mupdf,Heap-buffer-overflow WRITE 4,,False,True
42474410,ffmpeg,Heap-buffer-overflow READ {*},,False,True
42474424,ffmpeg,Heap-buffer-overflow READ 4,,False,True
42474468,openh264,Heap-use-after-free READ 4,,False,True
42474586,kimageformats,Heap-use-after-free READ 8,,False,True
42474615,ffmpeg,Heap-buffer-overflow READ 2,,False,True
42474701,karchive,Heap-use-after-free READ 8,,False,True
42474728,ffmpeg,Heap-buffer-overflow WRITE {*},,False,True
42474987,net,Heap-buffer-overflow READ {*},,False,True
42474998,gdal,Heap-buffer-overflow READ 4,,False,True
42475025,libarchive,Heap-buffer-overflow READ 1,,False,True
42475058,open62541,Heap-use-after-free READ 8,,False,True
42475066,libarchive,Heap-buffer-overflow READ 8,,False,True
42475116,open62541,Heap-buffer-overflow READ 4,,False,True
42475119,open62541,Heap-buffer-overflow WRITE 1,,False,True
42475136,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42475201,karchive,Heap-buffer-overflow READ 1,,False,True
42475210,karchive,Heap-buffer-overflow WRITE 1,,False,True
42475294,ffmpeg,Heap-buffer-overflow WRITE 4,,False,True
42475297,gdal,Heap-buffer-overflow WRITE 1,,False,True
42475345,harfbuzz,Heap-buffer-overflow READ 2,,False,True
42475349,karchive,Heap-buffer-overflow READ 1,,False,True
42475409,mbedtls,Heap-use-after-free READ 8,,False,True
42475421,gdal,Heap-buffer-overflow WRITE {*},,False,True
42475449,harfbuzz,Heap-buffer-overflow READ 2,,False,True
42475493,karchive,Heap-buffer-overflow WRITE 1,,False,True
42475495,karchive,Heap-buffer-overflow WRITE 1,,False,True
42475496,karchive,Heap-buffer-overflow WRITE 2,,False,True
42475517,karchive,Heap-buffer-overflow WRITE {*},,False,True
42475536,graphicsmagick,Heap-buffer-overflow READ 1,,False,True
42475709,open62541,Heap-buffer-overflow WRITE {*},,False,True
42475724,ffmpeg,Heap-buffer-overflow WRITE 4,,False,True
42475737,libpcap,Heap-double-free,,False,True
42475786,wireshark,Heap-buffer-overflow READ 1,,False,True
42475804,imagemagick,Heap-buffer-overflow READ 8,,False,True
42475832,ffmpeg,Heap-buffer-overflow READ 1,,False,True
42475840,ffmpeg,Heap-buffer-overflow WRITE 4,,False,True
42475847,ffmpeg,Heap-buffer-overflow WRITE 4,,False,True
42475851,ffmpeg,Heap-buffer-overflow WRITE 4,,False,True
42475954,c,Heap-buffer-overflow READ 16,,False,True
42475993,hostap,Heap-buffer-overflow READ 1,,False,True
42475994,ffmpeg,Heap-buffer-overflow READ 8,,False,True
42476019,libarchive,Heap-buffer-overflow READ 1,,False,True
42476041,hostap,Heap-buffer-overflow READ 1,,False,True
42476089,perfetto,Heap-buffer-overflow READ 1,,False,True
42476093,icu,Heap-buffer-overflow WRITE 3,,False,True
42476120,ffmpeg,Heap-buffer-overflow READ {*},,False,True
42476140,ffmpeg,Heap-buffer-overflow READ {*},,False,True
42476157,ffmpeg,Heap-buffer-overflow WRITE 4,,False,True
42476211,ffmpeg,Heap-buffer-overflow WRITE 8,,False,True
42476221,icu,Heap-buffer-overflow READ 4,,False,True
42476239,gdal,Heap-buffer-overflow READ 1,,False,True
42476242,ffmpeg,Heap-buffer-overflow WRITE 1,,False,True
42476325,graphicsmagick,Heap-buffer-overflow READ 8,,False,True
42476472,gdal,Heap-buffer-overflow READ 1,,False,True
42476505,gdal,Heap-buffer-overflow READ 1,,False,True
42476527,gdal,Heap-buffer-overflow READ 1,,False,True
42476531,libsass,Heap-buffer-overflow READ 8,,False,True
42476550,gdal,Heap-use-after-free READ 4,,False,True
42476560,ffmpeg,Heap-buffer-overflow WRITE 1,,False,True
42476585,lz4,Heap-buffer-overflow WRITE 4,,False,True
42476605,gdal,Heap-buffer-overflow READ 1,,False,True
42476708,libspng,Heap-use-after-free READ 2,,False,True
42476741,libspng,Heap-use-after-free READ {*},,False,True
42476752,libspng,Heap-buffer-overflow READ {*},,False,True
42476770,openssl,Heap-buffer-overflow WRITE 1,,False,True
42476801,ffmpeg,Heap-buffer-overflow WRITE 2,,False,True
42476848,gdal,Heap-double-free,,False,True
42476946,libspng,Heap-use-after-free READ {*},,False,True
42476999,libvips,Heap-buffer-overflow READ 1,,False,True
42477128,ffmpeg,Heap-buffer-overflow READ 4,,False,True
42477212,libavc,Heap-buffer-overflow READ 8,,False,True
42477222,libavc,Heap-buffer-overflow READ 4,,False,True
42477241,aspell,Heap-buffer-overflow READ 2,,False,True
42477247,imagemagick,Heap-use-after-free READ 8,,False,True
42477257,gdal,Heap-buffer-overflow READ 1,,False,True
42477278,libvips,Heap-buffer-overflow READ 1,,False,True
42477279,libvips,Heap-buffer-overflow READ 1,,False,True
42477302,libavc,Heap-buffer-overflow READ 4,,False,True
42477322,libmpeg2,Heap-buffer-overflow WRITE 1,,False,True
42477333,opensc,Heap-buffer-overflow READ 1,,False,True
42474899,openh264,Heap-use-after-free READ 8,,False,True
42474969,open62541,Heap-use-after-free READ 8,,False,True
42476458,imagemagick,Heap-use-after-free READ 8,,False,True
42477534,libvips,Heap-use-after-free READ 4,,False,True
42477632,libhevc,Heap-use-after-free READ 8,,False,True
42477951,opensc,Heap-use-after-free READ 4,,False,True
42478101,wireshark,Heap-use-after-free READ 8,,False,True
42478376,libhevc,Heap-use-after-free READ 4,,False,True
42478580,libxml2,Heap-use-after-free READ 8,,False,True
42478820,curl,Heap-use-after-free READ 6,,False,True
42478821,build,Heap-use-after-free READ 1,,False,True
42480127,ffmpeg,Heap-use-after-free READ 4,,False,True
42480429,gdal,Heap-use-after-free READ 4,,False,True
42480497,samba,Heap-use-after-free READ 1,,False,True
42480548,libarchive,Heap-use-after-free READ 1,,False,True
42480786,leptonica,Heap-use-after-free READ {*},,False,True
42481163,open62541,Heap-use-after-free READ 8,,False,True
42481229,arrow,Heap-use-after-free READ 8,,False,True
42481277,ndpi,Heap-use-after-free READ 2,,False,True
42481290,wget2,Heap-use-after-free READ {*},,False,True
42481412,php,Heap-use-after-free READ 4,,False,True
42481430,php,Heap-use-after-free READ 4,,False,True
42481451,php,Heap-use-after-free READ 4,,False,True
42481465,php,Heap-use-after-free READ 4,,False,True
42481580,open62541,Heap-use-after-free READ 8,,False,True
42481606,php,Heap-use-after-free READ 4,,False,True
42481640,openh264,Heap-use-after-free READ 4,,False,True
42481643,ffmpeg,Heap-use-after-free READ 1,,False,True
42481819,ghostpdl,Heap-use-after-free READ 8,,False,True
42482031,libvips,Heap-use-after-free READ 2,,False,True
42482101,harfbuzz,Heap-use-after-free READ 2,,False,True
42482721,open62541,Heap-use-after-free READ 4,,False,True
42483214,perfetto,Heap-use-after-free READ 8,,False,True
42483313,oniguruma,Heap-use-after-free READ 4,,False,True
42483440,leptonica,Heap-use-after-free READ 8,,False,True
42484161,leptonica,Heap-use-after-free READ 1,,False,True
42484314,ndpi,Heap-use-after-free READ 1,,False,True
42484479,ndpi,Heap-use-after-free READ 3,,False,True
42484562,libxml2,Heap-use-after-free READ 2,,False,True
42484817,php,Heap-use-after-free READ 4,,False,True
42485194,ndpi,Heap-use-after-free READ 2,,False,True
42485252,binutils,Heap-use-after-free READ 2,,False,True
42485276,libxml2,Heap-use-after-free READ 1,,False,True
42485353,ndpi,Heap-use-after-free READ 2,,False,True
42485599,libxml2,Heap-use-after-free READ 1,,False,True
42485989,rdkit,Heap-use-after-free READ 4,,False,True
42486022,php,Heap-use-after-free READ 4,,False,True
42486167,php,Heap-use-after-free READ 4,,False,True
42486565,libxml2,Heap-use-after-free READ 4,,False,True
42486665,libxml2,Heap-use-after-free READ 8,,False,True
42486724,open62541,Heap-use-after-free READ 4,,False,True
42486934,php,Heap-use-after-free READ 1,,False,True
42487031,php,Heap-use-after-free READ 4,,False,True
42487067,nginx,Heap-use-after-free READ 8,,False,True
42487233,php,Heap-use-after-free READ 4,,False,True
42487244,libxml2,Heap-use-after-free READ 4,,False,True
42487317,php,Heap-use-after-free READ 1,,False,True
42487422,php,Heap-use-after-free READ 4,,False,True
42487660,libavif,Heap-use-after-free READ 4,,False,True
42487785,libxml2,Heap-use-after-free READ 4,,False,True
42488049,leptonica,Heap-use-after-free READ 4,,False,True
42488143,fluent,Heap-use-after-free READ 8,,False,True
42488320,php,Heap-use-after-free READ 8,,False,True
42488833,leptonica,Heap-use-after-free READ 4,,False,True
42489695,fluent,Heap-use-after-free READ {*},,False,True
42490504,selinux,Heap-use-after-free READ 8,,False,True
42490512,selinux,Heap-use-after-free READ 4,,False,True
42470537,libssh,Stack-buffer-overflow READ 8,,False,True
42470720,graphicsmagick,Stack-buffer-overflow READ {*},,False,True
42470722,ffmpeg,Stack-buffer-overflow READ {*},,False,True
42470784,openvswitch,Stack-buffer-underflow READ 1,,False,True
42470954,openvswitch,Stack-buffer-overflow READ {*},,False,True
42471675,aom,Stack-buffer-overflow READ 16,,False,True
42471803,wireshark,Stack-buffer-overflow READ 2,,False,True
42472107,harfbuzz,Stack-buffer-overflow READ 4,,False,True
42472863,openthread,Stack-buffer-overflow READ {*},,False,True
42473688,openthread,Stack-buffer-overflow READ 1,,False,True
42474005,openthread,Stack-buffer-overflow READ 4,,False,True
42474638,ffmpeg,Stack-buffer-overflow READ 4,,False,True
42475716,gdal,Stack-buffer-overflow READ {*},,False,True
42475836,imagemagick,Stack-buffer-overflow READ 8,,False,True
42475857,ffmpeg,Stack-buffer-overflow READ 1,,False,True
42475955,openthread,Stack-buffer-overflow READ 15,,False,True
42475962,openthread,Stack-buffer-overflow READ {*},,False,True
42475964,openthread,Stack-buffer-overflow READ {*},,False,True
42476036,openthread,Stack-buffer-overflow READ {*},,False,True
42476400,imagemagick,Stack-buffer-overflow READ 1,,False,True
42476597,imagemagick,Stack-buffer-overflow READ 1,,False,True
42476599,imagemagick,Stack-buffer-overflow READ {*},,False,True
42476618,openthread,Stack-buffer-overflow READ 8,,False,True
42477888,matio,Stack-buffer-overflow READ 4,,False,True
42477894,matio,Stack-buffer-overflow READ 4,,False,True
42477925,openthread,Stack-buffer-overflow READ {*},,False,True
42478091,openthread,Stack-buffer-overflow READ 1,,False,True
42479584,opensc,Stack-buffer-overflow READ {*},,False,True
42480263,opensc,Stack-buffer-overflow READ {*},,False,True
42480359,openthread,Stack-buffer-overflow READ 11,,False,True
42481756,binutils,Stack-buffer-overflow READ 1,,False,True
42481758,binutils,Stack-buffer-overflow READ 1,,False,True
42481762,binutils,Stack-buffer-overflow READ 1,,False,True
42481764,binutils,Stack-buffer-overflow READ 1,,False,True
42481769,binutils,Stack-buffer-overflow READ 1,,False,True
42481955,openthread,Stack-buffer-overflow READ 2,,False,True
42482030,imagemagick,Stack-buffer-overflow READ 1,,False,True
42482223,extra,Stack-buffer-overflow READ {*},,False,True
42482232,imagemagick,Stack-buffer-overflow READ 13,,False,True
42482233,gdal,Stack-buffer-overflow READ {*},,False,True
42483000,wireshark,Stack-buffer-overflow READ 4,,False,True
42483003,wireshark,Stack-buffer-overflow READ 4,,False,True
42483087,fmt,Stack-buffer-underflow READ 16,,False,True
42483752,opensc,Stack-buffer-overflow READ {*},,False,True
42484403,libraw,Stack-buffer-overflow READ {*},,False,True
42484450,gdal,Stack-buffer-overflow READ {*},,False,True
42484819,rdkit,Stack-buffer-overflow READ 1,,False,True
42485310,aac,Stack-buffer-overflow READ 4,,False,True
42485538,gdal,Stack-buffer-overflow READ 16,,False,True
42486007,rdkit,Stack-buffer-overflow READ 1,,False,True
42486134,rdkit,Stack-buffer-overflow READ 1,,False,True
42486246,binutils,Stack-buffer-overflow READ 1,,False,True
42486292,gdal,Stack-buffer-overflow READ 4,,False,True
42486571,sleuthkit,Stack-buffer-overflow READ {*},,False,True
42487144,ndpi,Stack-buffer-overflow READ 1,,False,True
42487554,hermes,Stack-buffer-overflow READ 2,,False,True
42487581,gdal,Stack-buffer-overflow READ 1,,False,True
42487630,fmt,Stack-buffer-overflow READ 1,,False,True
42488181,gdal,Stack-buffer-overflow READ 1,,False,True
42488327,ffmpeg,Stack-buffer-overflow READ 4,,False,True
42488618,simdjson,Stack-buffer-overflow READ 1,,False,True
42488760,opensc,Stack-buffer-overflow READ {*},,False,True
42488802,imagemagick,Stack-buffer-overflow READ {*},,False,True
42489404,opensc,Stack-buffer-overflow READ 1,,False,True
42489610,wolfssl,Stack-buffer-overflow READ 8,,False,True
42489669,opensc,Stack-buffer-overflow READ 1,,False,True
42489920,fluent,Stack-buffer-overflow READ {*},,False,True
42490332,openthread,Stack-buffer-overflow READ 1,,False,True
42490337,gdal,Stack-buffer-overflow READ {*},,False,True
42490592,openthread,Stack-buffer-overflow READ 1,,False,True
42490599,openthread,Stack-buffer-overflow READ 4,,False,True
42490739,openthread,Stack-buffer-overflow READ 1,,False,True
42490832,perfetto,Stack-buffer-overflow READ 4,,False,True
42491388,serenity,Stack-buffer-overflow READ 8,,False,True
42492106,opensc,Stack-buffer-overflow READ 1,,False,True
42492308,fluent,Stack-buffer-overflow READ {*},,False,True
42493809,libheif,Stack-buffer-overflow READ 4,,False,True
42495315,openthread,Stack-buffer-overflow READ 3,,False,True
42495681,gpac,Stack-buffer-overflow READ {*},,False,True
42495802,assimp,Stack-buffer-overflow READ 1,,False,True
42496381,openthread,Stack-buffer-overflow READ 2,,False,True
42496475,binutils,Stack-buffer-overflow READ {*},,False,True
42496677,fluent,Stack-buffer-overflow READ {*},,False,True
42496737,wireshark,Stack-buffer-overflow READ 16,,False,True
42496932,duckdb,Stack-buffer-overflow READ 1,,False,True
42496965,espeak,Stack-buffer-overflow READ 1,,False,True
42497018,espeak,Stack-buffer-overflow READ 16,,False,True
42498610,opensc,Stack-buffer-overflow READ 1,,False,True
42498672,re2,Stack-buffer-overflow READ 1,,False,True
42499146,imagemagick,Stack-buffer-overflow READ 1,,False,True
42499399,libtpms,Stack-buffer-overflow READ 4,,False,True
42499939,net,Stack-buffer-overflow READ 8,,False,True
42500776,draco,Stack-buffer-overflow READ {*},,False,True
42501501,imagemagick,Stack-buffer-overflow READ 1,,False,True
42477334,opensc,Heap-buffer-overflow READ 1,,False,True
42477340,opensc,Heap-buffer-overflow READ 1,,False,True
42477344,ffmpeg,Heap-buffer-overflow READ 3,,False,True
42477386,ffmpeg,Heap-buffer-overflow READ 1,,False,True
42477466,curl,Heap-buffer-overflow READ 1,,False,True
42477503,libvips,Heap-buffer-overflow READ {*},,False,True
42477544,libhevc,Heap-buffer-overflow READ 4,,False,True
42477545,libhevc,Heap-buffer-overflow READ 4,,False,True
42477573,libspng,Heap-buffer-overflow READ 1,,False,True
42477601,matio,Heap-buffer-overflow READ 2,,False,True
42477643,libhevc,Heap-buffer-overflow READ 4,,False,True
42477823,libhevc,Heap-buffer-overflow READ 1,,False,True
42477952,libxslt,Heap-buffer-overflow READ 1,,False,True
42477976,unicorn,Heap-buffer-overflow READ 8,,False,True
42477979,libhevc,Heap-buffer-overflow READ 4,,False,True
42478263,zstd,Heap-buffer-overflow READ 16,,False,True
42478424,graphicsmagick,Heap-buffer-overflow READ 1,,False,True
42478447,ffmpeg,Heap-buffer-overflow READ 2,,False,True
42478556,openssl,Heap-buffer-overflow READ 14,,False,True
42478666,ffmpeg,Heap-buffer-overflow READ 2,,False,True
42478840,php,Heap-buffer-overflow READ 1,,False,True
42478856,graphicsmagick,Heap-buffer-overflow READ 1,,False,True
42478937,libhevc,Heap-buffer-overflow READ 4,,False,True
42478951,usrsctp,Heap-buffer-overflow READ 2,,False,True
42479024,imagemagick,Heap-buffer-overflow READ 1,,False,True
42479029,jsoncpp,Heap-buffer-overflow READ 1,,False,True
42479042,htslib,Heap-buffer-overflow READ {*},,False,True
42479075,imagemagick,Heap-buffer-overflow READ {*},,False,True
42479083,gdal,Heap-buffer-overflow READ 1,,False,True
42479160,open62541,Heap-buffer-overflow READ 4,,False,True
42479268,libgit2,Heap-buffer-overflow READ {*},,False,True
42488393,openh264,Heap-buffer-overflow WRITE 8,,False,True
42488451,ffmpeg,Heap-buffer-overflow WRITE {*},,False,True
42488508,libass,Heap-buffer-overflow WRITE 1,,False,True
42488563,openh264,Heap-buffer-overflow WRITE 1,,False,True
42488652,libsndfile,Heap-buffer-overflow WRITE 2,,False,True
42488672,ffmpeg,Heap-buffer-overflow WRITE 2,,False,True
42488680,arrow,Heap-buffer-overflow WRITE 1,,False,True
42488825,gdal,Heap-buffer-overflow WRITE 4,,False,True
42489161,fluent,Heap-buffer-overflow WRITE 1,,False,True
42489163,fluent,Heap-buffer-overflow WRITE 8,,False,True
42489279,fluent,Heap-buffer-overflow WRITE 1,,False,True
42489291,ffmpeg,Heap-buffer-overflow WRITE {*},,False,True
42489342,ffmpeg,Heap-buffer-overflow WRITE {*},,False,True
42489430,libsndfile,Heap-buffer-overflow WRITE 4,,False,True
42489565,matio,Heap-buffer-overflow WRITE {*},,False,True
42489660,fluent,Heap-buffer-overflow WRITE 1,,False,True
42489821,libavc,Heap-buffer-overflow WRITE {*},,False,True
42489839,ffmpeg,Heap-buffer-overflow WRITE 4,,False,True
42490020,rdkit,Heap-buffer-overflow WRITE 4,,False,True
42490266,fluent,Heap-buffer-overflow WRITE 1,,False,True
42493128,openthread,Stack-buffer-overflow READ 1,,False,True
42492643,htslib,Heap-buffer-overflow WRITE {*},,False,True
42492726,gdal,Heap-buffer-overflow WRITE 4,,False,True
42492850,libusb,Heap-buffer-overflow WRITE 1,,False,True
42492964,flatbuffers,Heap-buffer-overflow WRITE 1,,False,True
42493025,ffmpeg,Heap-buffer-overflow WRITE 2,,False,True
42493278,wolfssl,Heap-buffer-overflow WRITE 16,,False,True
42493540,ffmpeg,Heap-buffer-overflow WRITE 2,,False,True
42494003,ffmpeg,Heap-buffer-overflow WRITE 1,,False,True
42494130,ffmpeg,Heap-buffer-overflow WRITE 1,,False,True
42494133,ffmpeg,Heap-buffer-overflow WRITE 1,,False,True
42494150,ffmpeg,Heap-buffer-overflow WRITE 1,,False,True
localId,project,crash_type,libs,non_libc,report_found
42470093,harfbuzz,Heap-buffer-overflow READ 8,,False,True
42470096,harfbuzz,Heap-buffer-overflow READ 8,,False,True
42470109,graphicsmagick,Heap-buffer-overflow WRITE 4,,False,True
42470179,wget2,Heap-buffer-overflow WRITE 1,,False,True
42470183,wireshark,Heap-buffer-overflow READ 1,,False,True
42470194,wireshark,Heap-buffer-overflow READ 1,,False,True
42470226,aom,Heap-use-after-free WRITE 2,,False,True
42470283,aom,Heap-buffer-overflow WRITE 4,,False,True
42470339,libxml2,Heap-use-after-free READ 1,,False,True
42470341,graphicsmagick,Heap-buffer-overflow WRITE 8,,False,True
42470347,ffmpeg,Heap-buffer-overflow READ {*},,False,True
42470348,libxml2,Heap-use-after-free READ 1,,False,True
42470379,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42470383,harfbuzz,Heap-buffer-overflow READ 4,,False,True
42470395,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42470443,graphicsmagick,Heap-buffer-overflow READ 1,,False,True
42470692,botan,Heap-buffer-overflow READ 1,,False,True
42470702,gdal,Heap-buffer-overflow READ 4,,False,True
42470745,open62541,Heap-use-after-free READ 8,,False,True
42470878,openvswitch,Heap-use-after-free READ 2,,False,True
42470938,openvswitch,Heap-buffer-overflow READ 1,,False,True
42470953,wpantund,Heap-use-after-free READ 4,,False,True
42470972,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42470980,gdal,Heap-buffer-overflow READ {*},,False,True
42470989,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42470991,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471044,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471086,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471100,libgit2,Heap-buffer-overflow READ 2,,False,True
42471105,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471108,libgit2,Heap-buffer-overflow READ 13,,False,True
42471111,libgit2,Heap-buffer-overflow READ 1,,False,True
42471116,libarchive,Heap-buffer-overflow WRITE 1,,False,True
42471140,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471169,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471184,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471192,harfbuzz,Heap-buffer-overflow WRITE 1,,False,True
42471280,openvswitch,Heap-buffer-overflow READ 1,,False,True
42471287,libgit2,Heap-buffer-overflow READ 1,,False,True
42471291,openvswitch,Heap-buffer-overflow READ 1,,False,True
42471294,libgit2,Heap-buffer-overflow READ 1,,False,True
42471317,libgit2,Heap-buffer-overflow READ 1,,False,True
42471319,libarchive,Heap-buffer-overflow READ 1,,False,True
42471373,poppler,Heap-use-after-free READ 4,,False,True
42471374,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471383,openvswitch,Heap-buffer-overflow WRITE {*},,False,True
42471394,harfbuzz,Heap-buffer-overflow READ {*},,False,True
42471424,harfbuzz,Heap-buffer-overflow READ 5,,False,True
42471519,openthread,Heap-buffer-overflow READ 8,,False,True
42471526,libgit2,Heap-buffer-overflow READ 1,,False,True
42471555,openvswitch,Heap-double-free,,False,True
42471578,librawspeed,Heap-buffer-overflow WRITE 2,,False,True
42471639,open62541,Heap-use-after-free READ 4,,False,True
42471681,harfbuzz,Heap-buffer-overflow READ 1,,False,True
42471682,aom,Heap-buffer-overflow READ {*},,False,True
42471685,harfbuzz,Heap-buffer-overflow READ 1,,False,True
